Date : 2021-11-05 18:59:41
Directory : /Users/brunopaula/Desktop/fmb/website/fmb
Total : 509 files,  100797 codes, 1651 comments, 4578 blanks, all 107026 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/about/Aboutcontent3.js           | JavaScript       |        106 |          0 |          2 |        108 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/about/Aboutcontent5.js           | JavaScript       |         59 |          0 |          2 |         61 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/about/Aboutcta5.js               | JavaScript       |         34 |          0 |          2 |         36 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/about/Aboutfeatures4.js          | JavaScript       |        163 |          0 |          2 |        165 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/about/Aboutfeatures8.js          | JavaScript       |         92 |          0 |          2 |         94 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/about/Aboutreviews1.js           | JavaScript       |        402 |          0 |          3 |        405 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/about/Aboutstatistic4.js         | JavaScript       |         68 |          0 |          3 |         71 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/about/Aboutteam1.js              | JavaScript       |        212 |          0 |          2 |        214 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/app/AppFeatures.jsx              | JavaScript React |         63 |          3 |          4 |         70 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/app/index.jsx                    | JavaScript React |          1 |          0 |          1 |          2 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/counterWidget/Counter.jsx        | JavaScript React |        100 |          0 |          7 |        107 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/counterWidget/index.jsx          | JavaScript React |          1 |          0 |          1 |          2 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Fbrands1.js             | JavaScript       |        136 |          0 |          3 |        139 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Fcontent1.js            | JavaScript       |         59 |          0 |          2 |         61 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Fcontent10.js           | JavaScript       |         35 |          0 |          3 |         38 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Fcontent2.js            | JavaScript       |         57 |          0 |          3 |         60 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Fcontent2a.js           | JavaScript       |         57 |          0 |          2 |         59 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Fcontent3.js            | JavaScript       |        167 |          0 |          3 |        170 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Fcontent7.js            | JavaScript       |         65 |          0 |          2 |         67 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Fcta3.js                | JavaScript       |         44 |          0 |          2 |         46 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Ffaqs2.js               | JavaScript       |        151 |          0 |          2 |        153 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Ffeatures4.js           | JavaScript       |        148 |          0 |          2 |        150 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Ffeatures8.js           | JavaScript       |         92 |          0 |          2 |         94 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Freviews1.js            | JavaScript       |        399 |          0 |          3 |        402 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Fstatistic2.js          | JavaScript       |         54 |          0 |          3 |         57 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/features/Ftabs2.js               | JavaScript       |         83 |          0 |          2 |         85 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/hero/Hero.jsx                    | JavaScript React |         55 |          7 |          3 |         65 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/hero/Hero1.jsx                   | JavaScript React |         41 |          0 |          2 |         43 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/hero/index.jsx                   | JavaScript React |          1 |          0 |          1 |          2 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/howitworks/HowItWorks.jsx        | JavaScript React |         14 |          0 |          2 |         16 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/howitworks/howitworks.css        | CSS              |          2 |          3 |          2 |          7 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/howitworks/index.jsx             | JavaScript React |          1 |          0 |          1 |          2 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/ShareFiles.js               | JavaScript       |         47 |          0 |          2 |         49 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1Hero1.js         | JavaScript       |         68 |          0 |          3 |         71 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1content1.js      | JavaScript       |        109 |          0 |          3 |        112 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1content10.js     | JavaScript       |         65 |          0 |          3 |         68 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1content2.js      | JavaScript       |         50 |          0 |          2 |         52 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1content2a.js     | JavaScript       |         55 |          0 |          2 |         57 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1content3.js      | JavaScript       |        141 |          0 |          2 |        143 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1content4.js      | JavaScript       |         68 |          0 |          2 |         70 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1content5.js      | JavaScript       |         91 |          0 |          2 |         93 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1content6.js      | JavaScript       |         39 |          0 |          2 |         41 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1content9.js      | JavaScript       |         32 |          0 |          3 |         35 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1faqs2.js         | JavaScript       |        151 |          0 |          2 |        153 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1features2.js     | JavaScript       |         88 |          0 |          2 |         90 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1features8.js     | JavaScript       |         92 |          0 |          2 |         94 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1reviews1.js      | JavaScript       |        373 |          0 |          2 |        375 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1statistic2.js    | JavaScript       |         53 |          0 |          3 |         56 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10blog1.js       | JavaScript       |        146 |          0 |          3 |        149 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10brands2.js     | JavaScript       |        146 |          0 |          2 |        148 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10content2.js    | JavaScript       |         59 |          0 |          3 |         62 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10content3.js    | JavaScript       |        124 |          0 |          2 |        126 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10content5.js    | JavaScript       |         61 |          0 |          2 |         63 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10content6.js    | JavaScript       |         64 |          0 |          2 |         66 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10content7.js    | JavaScript       |         65 |          0 |          2 |         67 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10cta11.js       | JavaScript       |         46 |          0 |          2 |         48 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10features4.js   | JavaScript       |        193 |          0 |          2 |        195 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10hero10.js      | JavaScript       |         42 |          0 |          3 |         45 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10newsletter2.js | JavaScript       |         53 |          0 |          2 |         55 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10reviews4.js    | JavaScript       |        372 |          0 |          3 |        375 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10statistic2.js  | JavaScript       |         53 |          0 |          3 |         56 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo11/Demo11brands2.js     | JavaScript       |        146 |          0 |          2 |        148 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo11/Demo11content3.js    | JavaScript       |        124 |          0 |          2 |        126 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo11/Demo11content5.js    | JavaScript       |         61 |          0 |          2 |         63 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo11/Demo11content7.js    | JavaScript       |         65 |          0 |          2 |         67 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo11/Demo11content9.js    | JavaScript       |         37 |          0 |          3 |         40 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo11/Demo11cta9.js        | JavaScript       |         55 |          0 |          2 |         57 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo11/Demo11features4.js   | JavaScript       |        148 |          0 |          2 |        150 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo11/Demo11features8.js   | JavaScript       |         92 |          0 |          2 |         94 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo11/Demo11hero11.js      | JavaScript       |         70 |          0 |          2 |         72 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo11/Demo11reviews1.js    | JavaScript       |        402 |          0 |          3 |        405 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo11/Demo11statistic2.js  | JavaScript       |         53 |          0 |          3 |         56 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12blog1.js       | JavaScript       |        146 |          0 |          2 |        148 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12brands2.js     | JavaScript       |        134 |          0 |          2 |        136 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12content1.js    | JavaScript       |         71 |          0 |          2 |         73 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12content2a.js   | JavaScript       |         65 |          0 |          2 |         67 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12content3.js    | JavaScript       |        124 |          0 |          2 |        126 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12content6.js    | JavaScript       |         64 |          0 |          2 |         66 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12content7.js    | JavaScript       |         64 |          0 |          2 |         66 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12cta11.js       | JavaScript       |         46 |          0 |          2 |         48 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12faqs2.js       | JavaScript       |        151 |          0 |          2 |        153 |
